time, position_x, position_y, position_theta, target_x, target_y 
0.00360, -0.50000 , -1.19000, 1.57080, -0.50000, 0.00000 
0.00740, -0.50000 , -1.19000, 1.57080, -0.50000, 0.00000 
0.01101, -0.50000 , -1.19000, 1.57080, -0.50000, 0.00000 
0.01480, -0.50000 , -1.19000, 1.57080, -0.50000, 0.00000 
0.01898, -0.50000 , -1.19000, 1.57080, -0.50000, 0.00000 
0.02255, -0.50000 , -1.19000, 1.57080, -0.50000, 0.00000 
0.02613, -0.50000 , -1.19000, 1.57080, -0.50000, 0.00000 
0.02997, -0.50000 , -1.18980, 1.57202, -0.50000, 0.00000 
0.03378, -0.50000 , -1.18961, 1.57080, -0.50000, 0.00000 
0.03754, -0.50000 , -1.18941, 1.57202, -0.50000, 0.00000 
0.04118, -0.50000 , -1.18921, 1.57080, -0.50000, 0.00000 
0.06721, -0.50000 , -1.18725, 1.57080, -0.50000, 0.00000 
0.07691, -0.50000 , -1.18627, 1.56958, -0.50000, 0.00000 
0.08038, -0.50000 , -1.18607, 1.57080, -0.50000, 0.00000 
0.08379, -0.50000 , -1.18568, 1.57080, -0.50000, 0.00000 
0.08732, -0.50000 , -1.18548, 1.56958, -0.50000, 0.00000 
0.09085, -0.50000 , -1.18509, 1.56958, -0.50000, 0.00000 
0.10559, -0.50000 , -1.18372, 1.57080, -0.50000, 0.00000 
0.10922, -0.50000 , -1.18332, 1.57080, -0.50000, 0.00000 
0.11265, -0.50000 , -1.18293, 1.57080, -0.50000, 0.00000 
0.11617, -0.50000 , -1.18254, 1.57080, -0.50000, 0.00000 
0.11971, -0.50000 , -1.18215, 1.57080, -0.50000, 0.00000 
0.12325, -0.50000 , -1.18175, 1.57080, -0.50000, 0.00000 
0.13771, -0.50000 , -1.17999, 1.57202, -0.50000, 0.00000 
0.14113, -0.50000 , -1.17959, 1.57202, -0.50000, 0.00000 
0.14453, -0.50000 , -1.17900, 1.57080, -0.50000, 0.00000 
0.14807, -0.50000 , -1.17842, 1.57202, -0.50000, 0.00000 
0.15152, -0.50000 , -1.17802, 1.57202, -0.50000, 0.00000 
0.16586, -0.50001 , -1.17547, 1.57324, -0.50000, 0.00000 
0.16938, -0.50001 , -1.17488, 1.57202, -0.50000, 0.00000 
0.17280, -0.50001 , -1.17429, 1.57324, -0.50000, 0.00000 
0.17620, -0.50001 , -1.17351, 1.57324, -0.50000, 0.00000 
0.17959, -0.50001 , -1.17292, 1.57446, -0.50000, 0.00000 
0.18298, -0.50001 , -1.17233, 1.57324, -0.50000, 0.00000 
0.19723, -0.50002 , -1.16938, 1.57446, -0.50000, 0.00000 
0.20073, -0.50003 , -1.16860, 1.57446, -0.50000, 0.00000 
0.20413, -0.50003 , -1.16781, 1.57446, -0.50000, 0.00000 
0.20752, -0.50003 , -1.16722, 1.57567, -0.50000, 0.00000 
0.21093, -0.50003 , -1.16644, 1.57567, -0.50000, 0.00000 
0.21449, -0.50004 , -1.16546, 1.57689, -0.50000, 0.00000 
0.22872, -0.50006 , -1.16192, 1.57689, -0.50000, 0.00000 
0.23216, -0.50007 , -1.16094, 1.57811, -0.50000, 0.00000 
0.23628, -0.50008 , -1.15996, 1.57933, -0.50000, 0.00000 
0.23979, -0.50008 , -1.15917, 1.57933, -0.50000, 0.00000 
0.24319, -0.50009 , -1.15819, 1.58055, -0.50000, 0.00000 
0.25761, -0.50013 , -1.15426, 1.58299, -0.50000, 0.00000 
0.26116, -0.50015 , -1.15309, 1.58299, -0.50000, 0.00000 
0.26458, -0.50016 , -1.15230, 1.58299, -0.50000, 0.00000 
0.26797, -0.50017 , -1.15112, 1.58299, -0.50000, 0.00000 
0.27132, -0.50018 , -1.15034, 1.58299, -0.50000, 0.00000 
0.27469, -0.50020 , -1.14936, 1.58421, -0.50000, 0.00000 
0.28009, -0.50022 , -1.14779, 1.58421, -0.50000, 0.00000 
0.28895, -0.50026 , -1.14504, 1.58665, -0.50000, 0.00000 
0.29303, -0.50028 , -1.14366, 1.58787, -0.50000, 0.00000 
0.29682, -0.50030 , -1.14249, 1.58787, -0.50000, 0.00000 
0.30087, -0.50032 , -1.14131, 1.58787, -0.50000, 0.00000 
0.30484, -0.50034 , -1.13993, 1.58909, -0.50000, 0.00000 
0.31088, -0.50038 , -1.13777, 1.59031, -0.50000, 0.00000 
0.32213, -0.50046 , -1.13404, 1.59153, -0.50000, 0.00000 
0.32729, -0.50049 , -1.13247, 1.59397, -0.50000, 0.00000 
0.33185, -0.50053 , -1.13090, 1.59397, -0.50000, 0.00000 
0.34608, -0.50065 , -1.12580, 1.59641, -0.50000, 0.00000 
0.35714, -0.50077 , -1.12168, 1.60007, -0.50000, 0.00000 
0.36187, -0.50082 , -1.11991, 1.60129, -0.50000, 0.00000 
0.36975, -0.50091 , -1.11697, 1.60250, -0.50000, 0.00000 
0.37360, -0.50096 , -1.11540, 1.60250, -0.50000, 0.00000 
0.37774, -0.50102 , -1.11363, 1.60372, -0.50000, 0.00000 
0.38195, -0.50107 , -1.11206, 1.60372, -0.50000, 0.00000 
0.38598, -0.50112 , -1.11049, 1.60616, -0.50000, 0.00000 
0.39031, -0.50118 , -1.10892, 1.60616, -0.50000, 0.00000 
