time, position_x, position_y, position_theta, target_x, target_y 
0.00371, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.00731, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01083, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01444, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01790, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02130, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02471, -0.50000 , -1.18980, 1.57202, -0.50000, 0.50000 
0.02834, -0.50000 , -1.18980, 1.57202, -0.50000, 0.50000 
0.03251, -0.50000 , -1.18941, 1.57202, -0.50000, 0.50000 
0.03627, -0.50000 , -1.18941, 1.57202, -0.50000, 0.50000 
0.04007, -0.50000 , -1.18902, 1.57202, -0.50000, 0.50000 
0.04359, -0.50000 , -1.18902, 1.57202, -0.50000, 0.50000 
0.04724, -0.50000 , -1.18863, 1.57202, -0.50000, 0.50000 
0.05079, -0.50000 , -1.18843, 1.57324, -0.50000, 0.50000 
0.05427, -0.50000 , -1.18823, 1.57202, -0.50000, 0.50000 
0.05774, -0.50000 , -1.18784, 1.57202, -0.50000, 0.50000 
0.06127, -0.50000 , -1.18784, 1.57202, -0.50000, 0.50000 
0.06482, -0.50000 , -1.18745, 1.57202, -0.50000, 0.50000 
0.06873, -0.50000 , -1.18705, 1.57202, -0.50000, 0.50000 
0.07266, -0.50000 , -1.18686, 1.57324, -0.50000, 0.50000 
0.07637, -0.50001 , -1.18647, 1.57324, -0.50000, 0.50000 
0.08193, -0.50001 , -1.18607, 1.57324, -0.50000, 0.50000 
0.08591, -0.50001 , -1.18568, 1.57324, -0.50000, 0.50000 
0.10920, -0.50002 , -1.18352, 1.57689, -0.50000, 0.50000 
0.11280, -0.50002 , -1.18313, 1.57689, -0.50000, 0.50000 
0.11668, -0.50002 , -1.18274, 1.57689, -0.50000, 0.50000 
0.12950, -0.50003 , -1.18136, 1.57811, -0.50000, 0.50000 
0.13356, -0.50003 , -1.18077, 1.57933, -0.50000, 0.50000 
0.13770, -0.50004 , -1.18018, 1.57811, -0.50000, 0.50000 
0.14154, -0.50004 , -1.17959, 1.57933, -0.50000, 0.50000 
0.14519, -0.50005 , -1.17920, 1.57933, -0.50000, 0.50000 
0.15460, -0.50006 , -1.17783, 1.58055, -0.50000, 0.50000 
0.15918, -0.50007 , -1.17724, 1.58177, -0.50000, 0.50000 
0.16323, -0.50007 , -1.17645, 1.58177, -0.50000, 0.50000 
0.16734, -0.50008 , -1.17586, 1.58299, -0.50000, 0.50000 
0.17096, -0.50009 , -1.17508, 1.58299, -0.50000, 0.50000 
0.17457, -0.50010 , -1.17469, 1.58299, -0.50000, 0.50000 
0.17832, -0.50012 , -1.17311, 1.58543, -0.50000, 0.50000 
0.18805, -0.50013 , -1.17213, 1.58665, -0.50000, 0.50000 
0.19219, -0.50014 , -1.17135, 1.58665, -0.50000, 0.50000 
0.19637, -0.50015 , -1.17076, 1.58787, -0.50000, 0.50000 
0.20021, -0.50017 , -1.16978, 1.58909, -0.50000, 0.50000 
0.20385, -0.50019 , -1.16899, 1.58909, -0.50000, 0.50000 
0.20767, -0.50020 , -1.16840, 1.59031, -0.50000, 0.50000 
0.21770, -0.50025 , -1.16585, 1.59153, -0.50000, 0.50000 
0.22211, -0.50026 , -1.16507, 1.59153, -0.50000, 0.50000 
0.22642, -0.50029 , -1.16408, 1.59275, -0.50000, 0.50000 
0.23021, -0.50031 , -1.16310, 1.59397, -0.50000, 0.50000 
