time, position_x, position_y, position_theta, target_x, target_y 
0.00364, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01002, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01356, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01705, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02051, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02392, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02737, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.03115, -0.50000 , -1.18980, 1.57202, -0.50000, 0.50000 
0.03485, -0.50000 , -1.18961, 1.57324, -0.50000, 0.50000 
0.03844, -0.50000 , -1.18961, 1.57324, -0.50000, 0.50000 
0.04255, -0.50000 , -1.18941, 1.57446, -0.50000, 0.50000 
0.04640, -0.50000 , -1.18941, 1.57446, -0.50000, 0.50000 
0.05024, -0.50000 , -1.18902, 1.57446, -0.50000, 0.50000 
0.05423, -0.50000 , -1.18882, 1.57567, -0.50000, 0.50000 
0.05809, -0.50001 , -1.18843, 1.57567, -0.50000, 0.50000 
0.06877, -0.50001 , -1.18745, 1.57689, -0.50000, 0.50000 
0.07362, -0.50001 , -1.18705, 1.57689, -0.50000, 0.50000 
0.07791, -0.50002 , -1.18666, 1.57689, -0.50000, 0.50000 
0.08198, -0.50002 , -1.18647, 1.57811, -0.50000, 0.50000 
0.08583, -0.50002 , -1.18607, 1.57811, -0.50000, 0.50000 
0.08968, -0.50003 , -1.18529, 1.58055, -0.50000, 0.50000 
0.09945, -0.50003 , -1.18490, 1.58055, -0.50000, 0.50000 
0.10369, -0.50004 , -1.18431, 1.58177, -0.50000, 0.50000 
0.10797, -0.50004 , -1.18411, 1.58299, -0.50000, 0.50000 
0.11213, -0.50005 , -1.18352, 1.58421, -0.50000, 0.50000 
0.11587, -0.50005 , -1.18332, 1.58543, -0.50000, 0.50000 
0.11982, -0.50007 , -1.18215, 1.58787, -0.50000, 0.50000 
0.13028, -0.50007 , -1.18175, 1.58787, -0.50000, 0.50000 
0.13441, -0.50008 , -1.18116, 1.58909, -0.50000, 0.50000 
0.13864, -0.50010 , -1.18058, 1.59031, -0.50000, 0.50000 
0.14247, -0.50011 , -1.17999, 1.59153, -0.50000, 0.50000 
0.14616, -0.50012 , -1.17940, 1.59275, -0.50000, 0.50000 
0.14993, -0.50015 , -1.17802, 1.59641, -0.50000, 0.50000 
0.16009, -0.50017 , -1.17724, 1.59641, -0.50000, 0.50000 
0.16419, -0.50019 , -1.17645, 1.59885, -0.50000, 0.50000 
0.16830, -0.50021 , -1.17586, 1.60007, -0.50000, 0.50000 
0.17207, -0.50023 , -1.17528, 1.60129, -0.50000, 0.50000 
0.17577, -0.50025 , -1.17449, 1.60129, -0.50000, 0.50000 
0.17948, -0.50027 , -1.17390, 1.60250, -0.50000, 0.50000 
0.18902, -0.50034 , -1.17194, 1.60738, -0.50000, 0.50000 
0.19342, -0.50037 , -1.17116, 1.60738, -0.50000, 0.50000 
0.19744, -0.50040 , -1.17017, 1.60860, -0.50000, 0.50000 
0.20159, -0.50043 , -1.16939, 1.61104, -0.50000, 0.50000 
0.20530, -0.50047 , -1.16860, 1.61104, -0.50000, 0.50000 
0.20899, -0.50051 , -1.16762, 1.61226, -0.50000, 0.50000 
0.21894, -0.50061 , -1.16527, 1.61714, -0.50000, 0.50000 
0.22379, -0.50065 , -1.16429, 1.61836, -0.50000, 0.50000 
0.22784, -0.50070 , -1.16331, 1.61958, -0.50000, 0.50000 
0.23178, -0.50075 , -1.16233, 1.62080, -0.50000, 0.50000 
0.23546, -0.50079 , -1.16154, 1.62080, -0.50000, 0.50000 
0.23916, -0.50084 , -1.16056, 1.62202, -0.50000, 0.50000 
0.24875, -0.50097 , -1.15801, 1.62568, -0.50000, 0.50000 
0.25331, -0.50104 , -1.15684, 1.62568, -0.50000, 0.50000 
0.25734, -0.50109 , -1.15586, 1.62690, -0.50000, 0.50000 
0.26145, -0.50116 , -1.15468, 1.62934, -0.50000, 0.50000 
0.26516, -0.50122 , -1.15370, 1.63055, -0.50000, 0.50000 
0.26884, -0.50128 , -1.15272, 1.63177, -0.50000, 0.50000 
0.27853, -0.50145 , -1.14998, 1.63421, -0.50000, 0.50000 
0.28326, -0.50154 , -1.14861, 1.63543, -0.50000, 0.50000 
0.28736, -0.50163 , -1.14723, 1.63665, -0.50000, 0.50000 
0.29154, -0.50171 , -1.14606, 1.63909, -0.50000, 0.50000 
0.29577, -0.50180 , -1.14469, 1.64031, -0.50000, 0.50000 
0.29989, -0.50188 , -1.14351, 1.64031, -0.50000, 0.50000 
0.30977, -0.50212 , -1.14018, 1.64397, -0.50000, 0.50000 
0.31429, -0.50222 , -1.13881, 1.64519, -0.50000, 0.50000 
0.31841, -0.50232 , -1.13744, 1.64641, -0.50000, 0.50000 
0.32258, -0.50243 , -1.13607, 1.64763, -0.50000, 0.50000 
0.32826, -0.50260 , -1.13392, 1.64885, -0.50000, 0.50000 
0.33245, -0.50286 , -1.13059, 1.65251, -0.50000, 0.50000 
0.34465, -0.50307 , -1.12805, 1.65373, -0.50000, 0.50000 
0.35020, -0.50324 , -1.12609, 1.65617, -0.50000, 0.50000 
0.35528, -0.50341 , -1.12413, 1.65617, -0.50000, 0.50000 
0.36018, -0.50356 , -1.12237, 1.65739, -0.50000, 0.50000 
0.36410, -0.50369 , -1.12081, 1.65982, -0.50000, 0.50000 
0.36778, -0.50382 , -1.11944, 1.66104, -0.50000, 0.50000 
0.37914, -0.50427 , -1.11455, 1.66470, -0.50000, 0.50000 
0.38423, -0.50446 , -1.11260, 1.66714, -0.50000, 0.50000 
0.38969, -0.50466 , -1.11045, 1.66836, -0.50000, 0.50000 
0.39449, -0.50486 , -1.10849, 1.66836, -0.50000, 0.50000 
0.39912, -0.50529 , -1.10420, 1.67324, -0.50000, 0.50000 
0.41181, -0.50559 , -1.10127, 1.67446, -0.50000, 0.50000 
0.41760, -0.50586 , -1.09873, 1.67568, -0.50000, 0.50000 
0.42277, -0.50611 , -1.09638, 1.67812, -0.50000, 0.50000 
0.42771, -0.50634 , -1.09424, 1.67934, -0.50000, 0.50000 
0.43810, -0.50685 , -1.08955, 1.68178, -0.50000, 0.50000 
0.44369, -0.50712 , -1.08721, 1.68422, -0.50000, 0.50000 
0.44875, -0.50739 , -1.08487, 1.68665, -0.50000, 0.50000 
0.45337, -0.50764 , -1.08273, 1.68787, -0.50000, 0.50000 
0.45791, -0.50787 , -1.08078, 1.68787, -0.50000, 0.50000 
0.46832, -0.50845 , -1.07590, 1.69153, -0.50000, 0.50000 
0.47363, -0.50876 , -1.07337, 1.69275, -0.50000, 0.50000 
0.47843, -0.50902 , -1.07122, 1.69397, -0.50000, 0.50000 
0.48296, -0.50929 , -1.06908, 1.69519, -0.50000, 0.50000 
0.48739, -0.50954 , -1.06713, 1.69763, -0.50000, 0.50000 
0.49804, -0.51022 , -1.06187, 1.70129, -0.50000, 0.50000 
0.50314, -0.51055 , -1.05934, 1.70251, -0.50000, 0.50000 
0.50815, -0.51086 , -1.05701, 1.70495, -0.50000, 0.50000 
0.51275, -0.51118 , -1.05467, 1.70495, -0.50000, 0.50000 
0.51727, -0.51147 , -1.05253, 1.70617, -0.50000, 0.50000 
0.52757, -0.51222 , -1.04709, 1.71105, -0.50000, 0.50000 
0.53281, -0.51258 , -1.04456, 1.71227, -0.50000, 0.50000 
0.53793, -0.51292 , -1.04223, 1.71470, -0.50000, 0.50000 
0.54256, -0.51328 , -1.03970, 1.71592, -0.50000, 0.50000 
0.54706, -0.51360 , -1.03757, 1.71714, -0.50000, 0.50000 
0.55584, -0.51426 , -1.03310, 1.72080, -0.50000, 0.50000 
0.56085, -0.51468 , -1.03038, 1.72324, -0.50000, 0.50000 
0.56645, -0.51513 , -1.02747, 1.72446, -0.50000, 0.50000 
0.57032, -0.51543 , -1.02553, 1.72690, -0.50000, 0.50000 
0.59102, -0.51724 , -1.01429, 1.73422, -0.50000, 0.50000 
0.59490, -0.51756 , -1.01235, 1.73666, -0.50000, 0.50000 
0.59911, -0.51795 , -1.01003, 1.73666, -0.50000, 0.50000 
0.60274, -0.51828 , -1.00809, 1.73910, -0.50000, 0.50000 
0.60633, -0.51861 , -1.00615, 1.73910, -0.50000, 0.50000 
0.61055, -0.51901 , -1.00383, 1.74154, -0.50000, 0.50000 
0.61417, -0.51934 , -1.00190, 1.74397, -0.50000, 0.50000 
0.61782, -0.51972 , -0.99977, 1.74519, -0.50000, 0.50000 
0.62158, -0.52009 , -0.99764, 1.74641, -0.50000, 0.50000 
0.62519, -0.52040 , -0.99590, 1.74763, -0.50000, 0.50000 
0.62916, -0.52085 , -0.99339, 1.74885, -0.50000, 0.50000 
0.63321, -0.52124 , -0.99127, 1.75007, -0.50000, 0.50000 
0.63726, -0.52166 , -0.98895, 1.75251, -0.50000, 0.50000 
0.64119, -0.52205 , -0.98682, 1.75373, -0.50000, 0.50000 
0.64481, -0.52244 , -0.98470, 1.75495, -0.50000, 0.50000 
0.64842, -0.52284 , -0.98258, 1.75617, -0.50000, 0.50000 
0.65264, -0.52335 , -0.97988, 1.75617, -0.50000, 0.50000 
0.66135, -0.52422 , -0.97524, 1.75861, -0.50000, 0.50000 
0.66516, -0.52466 , -0.97293, 1.76105, -0.50000, 0.50000 
0.66897, -0.52507 , -0.97081, 1.76227, -0.50000, 0.50000 
0.67283, -0.52620 , -0.96503, 1.76471, -0.50000, 0.50000 
0.68360, -0.52677 , -0.96214, 1.76593, -0.50000, 0.50000 
0.68801, -0.52727 , -0.95963, 1.76715, -0.50000, 0.50000 
0.69229, -0.52777 , -0.95713, 1.76837, -0.50000, 0.50000 
0.69640, -0.52823 , -0.95482, 1.76837, -0.50000, 0.50000 
0.70056, -0.52873 , -0.95232, 1.76958, -0.50000, 0.50000 
0.71036, -0.52990 , -0.94655, 1.77202, -0.50000, 0.50000 
0.71521, -0.53045 , -0.94385, 1.77202, -0.50000, 0.50000 
0.71982, -0.53100 , -0.94116, 1.77202, -0.50000, 0.50000 
0.72390, -0.53143 , -0.93904, 1.77324, -0.50000, 0.50000 
0.72778, -0.53191 , -0.93673, 1.77324, -0.50000, 0.50000 
0.73180, -0.53242 , -0.93423, 1.77446, -0.50000, 0.50000 
0.74168, -0.53366 , -0.92827, 1.77568, -0.50000, 0.50000 
0.74665, -0.53422 , -0.92558, 1.77568, -0.50000, 0.50000 
0.75111, -0.53474 , -0.92308, 1.77690, -0.50000, 0.50000 
0.75512, -0.53522 , -0.92078, 1.77690, -0.50000, 0.50000 
0.75913, -0.53570 , -0.91847, 1.77690, -0.50000, 0.50000 
0.76309, -0.53618 , -0.91617, 1.77690, -0.50000, 0.50000 
0.76797, -0.53679 , -0.91328, 1.77568, -0.50000, 0.50000 
0.77163, -0.53719 , -0.91136, 1.77568, -0.50000, 0.50000 
0.77544, -0.53766 , -0.90905, 1.77568, -0.50000, 0.50000 
0.77951, -0.53818 , -0.90655, 1.77446, -0.50000, 0.50000 
0.78345, -0.53866 , -0.90425, 1.77446, -0.50000, 0.50000 
0.78723, -0.53910 , -0.90213, 1.77568, -0.50000, 0.50000 
0.79089, -0.53954 , -0.90002, 1.77446, -0.50000, 0.50000 
0.79438, -0.53993 , -0.89809, 1.77446, -0.50000, 0.50000 
0.79789, -0.54041 , -0.89579, 1.77446, -0.50000, 0.50000 
0.80152, -0.54084 , -0.89367, 1.77324, -0.50000, 0.50000 
0.80544, -0.54132 , -0.89136, 1.77324, -0.50000, 0.50000 
0.80950, -0.54183 , -0.88886, 1.77202, -0.50000, 0.50000 
0.81370, -0.54230 , -0.88655, 1.77202, -0.50000, 0.50000 
0.81737, -0.54277 , -0.88424, 1.77202, -0.50000, 0.50000 
0.82124, -0.54328 , -0.88174, 1.77080, -0.50000, 0.50000 
0.82489, -0.54367 , -0.87982, 1.77080, -0.50000, 0.50000 
0.82853, -0.54414 , -0.87751, 1.77080, -0.50000, 0.50000 
0.83240, -0.54460 , -0.87520, 1.76837, -0.50000, 0.50000 
0.83689, -0.54518 , -0.87231, 1.76958, -0.50000, 0.50000 
0.84102, -0.54569 , -0.86981, 1.76837, -0.50000, 0.50000 
0.84504, -0.54619 , -0.86731, 1.76715, -0.50000, 0.50000 
0.84886, -0.54665 , -0.86499, 1.76715, -0.50000, 0.50000 
0.85259, -0.54710 , -0.86268, 1.76471, -0.50000, 0.50000 
0.85624, -0.54752 , -0.86056, 1.76349, -0.50000, 0.50000 
0.86023, -0.54800 , -0.85806, 1.76227, -0.50000, 0.50000 
0.86404, -0.54849 , -0.85555, 1.76105, -0.50000, 0.50000 
0.86816, -0.54925 , -0.85170, 1.76837, -0.50000, 0.50000 
0.87661, -0.54996 , -0.84804, 1.75739, -0.50000, 0.50000 
0.88023, -0.55039 , -0.84572, 1.75495, -0.50000, 0.50000 
0.88377, -0.55079 , -0.84360, 1.75373, -0.50000, 0.50000 
0.88821, -0.55132 , -0.84070, 1.75251, -0.50000, 0.50000 
0.89229, -0.55174 , -0.83838, 1.75007, -0.50000, 0.50000 
0.89646, -0.55220 , -0.83587, 1.74885, -0.50000, 0.50000 
0.90076, -0.55272 , -0.83297, 1.74763, -0.50000, 0.50000 
0.90491, -0.55316 , -0.83046, 1.74641, -0.50000, 0.50000 
0.90944, -0.55361 , -0.82795, 1.74519, -0.50000, 0.50000 
0.91328, -0.55401 , -0.82562, 1.74275, -0.50000, 0.50000 
0.91931, -0.55468 , -0.82175, 1.74032, -0.50000, 0.50000 
0.92315, -0.55505 , -0.81963, 1.73910, -0.50000, 0.50000 
0.92698, -0.55544 , -0.81730, 1.73666, -0.50000, 0.50000 
0.93075, -0.55582 , -0.81498, 1.73422, -0.50000, 0.50000 
0.93445, -0.55617 , -0.81285, 1.73300, -0.50000, 0.50000 
0.93810, -0.55655 , -0.81052, 1.73056, -0.50000, 0.50000 
0.94267, -0.55702 , -0.80761, 1.72934, -0.50000, 0.50000 
