time, position_x, position_y, position_theta, target_x, target_y 
0.00357, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.00707, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01063, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01408, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.01750, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02089, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02427, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.02776, -0.50000 , -1.19000, 1.57080, -0.50000, 0.50000 
0.03124, -0.50000 , -1.18961, 1.57080, -0.50000, 0.50000 
0.03525, -0.50000 , -1.18941, 1.57202, -0.50000, 0.50000 
0.03901, -0.50000 , -1.18921, 1.57080, -0.50000, 0.50000 
0.04273, -0.50000 , -1.18882, 1.57080, -0.50000, 0.50000 
0.04610, -0.50000 , -1.18863, 1.57202, -0.50000, 0.50000 
0.04947, -0.50000 , -1.18823, 1.57202, -0.50000, 0.50000 
0.05285, -0.50000 , -1.18804, 1.57080, -0.50000, 0.50000 
0.05619, -0.50000 , -1.18784, 1.57202, -0.50000, 0.50000 
0.05970, -0.50000 , -1.18745, 1.57202, -0.50000, 0.50000 
0.06315, -0.50000 , -1.18705, 1.57202, -0.50000, 0.50000 
0.06661, -0.50000 , -1.18666, 1.57202, -0.50000, 0.50000 
0.07012, -0.50000 , -1.18627, 1.57202, -0.50000, 0.50000 
0.07401, -0.50000 , -1.18588, 1.57202, -0.50000, 0.50000 
0.07772, -0.50000 , -1.18568, 1.57324, -0.50000, 0.50000 
0.08151, -0.50000 , -1.18529, 1.57324, -0.50000, 0.50000 
0.08502, -0.50001 , -1.18489, 1.57324, -0.50000, 0.50000 
0.08848, -0.50001 , -1.18450, 1.57324, -0.50000, 0.50000 
0.09190, -0.50001 , -1.18411, 1.57324, -0.50000, 0.50000 
0.09535, -0.50001 , -1.18391, 1.57446, -0.50000, 0.50000 
0.09887, -0.50001 , -1.18352, 1.57446, -0.50000, 0.50000 
0.10273, -0.50001 , -1.18293, 1.57567, -0.50000, 0.50000 
0.10666, -0.50001 , -1.18254, 1.57567, -0.50000, 0.50000 
0.11050, -0.50002 , -1.18234, 1.57689, -0.50000, 0.50000 
0.11406, -0.50002 , -1.18195, 1.57689, -0.50000, 0.50000 
0.11749, -0.50002 , -1.18156, 1.57689, -0.50000, 0.50000 
0.12100, -0.50002 , -1.18136, 1.57811, -0.50000, 0.50000 
0.12478, -0.50003 , -1.18077, 1.57933, -0.50000, 0.50000 
0.12854, -0.50003 , -1.18038, 1.57933, -0.50000, 0.50000 
0.13225, -0.50003 , -1.17999, 1.57933, -0.50000, 0.50000 
0.13592, -0.50004 , -1.17940, 1.58055, -0.50000, 0.50000 
0.14007, -0.50004 , -1.17900, 1.58055, -0.50000, 0.50000 
0.14378, -0.50005 , -1.17842, 1.58177, -0.50000, 0.50000 
0.14754, -0.50009 , -1.17606, 1.59397, -0.50000, 0.50000 
0.17108, -0.50013 , -1.17390, 1.58543, -0.50000, 0.50000 
0.17478, -0.50014 , -1.17311, 1.58543, -0.50000, 0.50000 
0.17834, -0.50015 , -1.17253, 1.58665, -0.50000, 0.50000 
0.18185, -0.50016 , -1.17174, 1.58665, -0.50000, 0.50000 
0.18536, -0.50017 , -1.17115, 1.58787, -0.50000, 0.50000 
0.18902, -0.50019 , -1.17037, 1.58787, -0.50000, 0.50000 
0.19269, -0.50020 , -1.16958, 1.58787, -0.50000, 0.50000 
0.19666, -0.50021 , -1.16880, 1.59031, -0.50000, 0.50000 
0.20046, -0.50023 , -1.16801, 1.59031, -0.50000, 0.50000 
0.20427, -0.50024 , -1.16723, 1.59031, -0.50000, 0.50000 
0.20784, -0.50026 , -1.16624, 1.59153, -0.50000, 0.50000 
0.21136, -0.50028 , -1.16546, 1.59153, -0.50000, 0.50000 
0.21487, -0.50029 , -1.16487, 1.59275, -0.50000, 0.50000 
